CD_MUN,NM_MUN,SIGLA_UF,ng_oficial,ng_medio,ng_max,_merge
1708254,Tabocão,TO,22,10.403140556666665,12.15972334,both
1708304,Goianorte,TO,24,13.54147583111111,14.32017652,both
1709005,Goiatins,TO,22,8.374054386875,12.36363001,both
1709302,Guaraí,TO,22,10.395664317272727,12.64555071,both
1709500,Gurupi,TO,22,10.408097403,11.12920604,both
1709807,Ipueiras,TO,22,11.613230916000001,12.56021407,both
1710508,Itacajá,TO,22,11.404649033529411,13.02153884,both
1710706,Itaguatins,TO,14,6.275213266,7.04825614,both
1710904,Itapiratins,TO,22,10.72026613375,12.1363473,both
1711100,Itaporã do Tocantins,TO,22,11.950578178,13.14940298,both
1711506,Jaú do Tocantins,TO,18,7.625165580000001,8.81469629,both
1711803,Juarina,TO,22,10.963743095,11.50125123,both
1711902,Lagoa da Confusão,TO,24,8.448288735689655,12.59964354,both
1711951,Lagoa do Tocantins,TO,22,10.9188920725,11.86062266,both
1712009,Lajeado,TO,22,11.28382588,11.28382588,both
1712157,Lavandeira,TO,16,8.026294696666666,8.09229212,both
1712405,Lizarda,TO,22,9.899696178965518,11.54546856,both
1712454,Luzinópolis,TO,10,4.63038486,4.63038486,both
1712504,Marianópolis do Tocantins,TO,26,11.729425805,13.84927603,both
1712702,Mateiros,TO,24,8.890744148113209,11.9856704,both
1712801,Maurilândia do Tocantins,TO,14,5.632850908,6.71704861,both
1713205,Miracema do Tocantins,TO,24,12.695715593529412,13.73380401,both
1713304,Miranorte,TO,24,12.996942368333334,13.46765511,both
1713601,Monte do Carmo,TO,26,13.27176843904762,14.99808173,both
1713700,Monte Santo do Tocantins,TO,24,13.086175008333333,13.6067848,both
1713809,Palmeiras do Tocantins,TO,12,5.786020305,6.1898203,both
1713957,Muricilândia,TO,18,9.487411288571428,9.85760571,both
1714203,Natividade,TO,22,8.928180261764705,11.27002557,both
1714302,Nazaré,TO,10,4.760689863333334,5.20605509,both
1714880,Nova Olinda,TO,16,7.955321655555555,8.51728545,both
1715002,Nova Rosalândia,TO,24,12.251537666666666,12.53965442,both
1715101,Novo Acordo,TO,20,10.15386832923077,10.87009811,both
1715150,Novo Alegre,TO,14,7.74700263,7.74700263,both
1715259,Novo Jardim,TO,26,12.657500251428571,14.91246346,both
1715507,Oliveira de Fátima,TO,24,12.05213722,12.05213722,both
1715705,Palmeirante,TO,20,9.538264574000001,10.59634495,both
1715754,Palmeirópolis,TO,16,8.151248556666665,8.5378451,both
1716109,Paraíso do Tocantins,TO,24,13.468218385,13.7805561,both
1716208,Paranã,TO,16,7.1540842869354835,8.6857056,both
1716307,Pau D'Arco,TO,22,10.498522315,11.83696498,both
1716505,Pedro Afonso,TO,20,8.540689655,10.70364943,both
1716604,Peixe,TO,22,9.746257695714286,12.60752943,both
1716653,Pequizeiro,TO,24,11.191729910000001,13.37837553,both
1716703,Colméia,TO,24,12.960061062857141,14.0596604,both
1717008,Pindorama do Tocantins,TO,24,12.57183168375,12.69117623,both
1717206,Piraquê,TO,16,8.838691936,9.31657708,both
1717503,Pium,TO,22,9.806413969272727,11.87188822,both
1717800,Ponte Alta do Bom Jesus,TO,24,10.89403742909091,13.14039053,both
1717909,Ponte Alta do Tocantins,TO,24,12.744314673783784,14.4122725,both
1718006,Porto Alegre do Tocantins,TO,26,13.711836165000001,14.35594468,both
1718204,Porto Nacional,TO,26,13.881253792499999,14.91612476,both
1718303,Praia Norte,TO,12,6.576369905,6.71564042,both
1718402,Presidente Kennedy,TO,22,11.7461363875,12.7796109,both
1718451,Pugmil,TO,24,13.1430661,13.31021888,both
1718501,Recursolândia,TO,22,12.313717314444444,12.77425976,both
1718550,Riachinho,TO,14,7.5059196,7.93175785,both
